,,Monthly,,Annual
Grade,Grade Minimum,Grade Maximum,Grade Minimum,Grade Maximum
5,"$3,293","$6,973","$39,513","$83,676"
6,"$3,526","$7,467","$42,313","$89,604"
7,"$4,298","$9,101","$51,572","$109,212"
8,"$5,018","$10,625","$60,216","$127,500"
9,"$6,218","$13,167","$74,616","$158,004"
10,"$8,026","$16,996","$96,312","$203,955"
11,"$9,318","$21,378","$111,816","$256,536"
12,"$11,472","$26,321","$137,667","$315,856"
